name,latitude,longitude,authority,source,source
West Marinette,45.086900,-87.688100,"Midcontinent Independent Transmission System Operator, Inc..",,
Wausau,44.957500,-89.636700,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin River
Weston,44.860600,-89.655300,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin River
Castle Rock,43.865600,-89.951400,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin River
Petenwell,44.057200,-90.021700,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin River
Arcadia Electric,44.252400,-91.503400,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Barron,45.401930,-91.840382,"Midcontinent Independent Transmission System Operator, Inc..",Yellow River,Yellow River
Cashton,43.742874,-90.780325,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Cumberland (WI),45.533600,-92.022400,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Elroy,43.739500,-90.267500,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Fennimore,42.982800,-90.655800,"Midcontinent Independent Transmission System Operator, Inc..",,
Kaukauna Gas Turbine,44.276199,-88.265445,"Midcontinent Independent Transmission System Operator, Inc..",,
Little Chute,44.279897,-88.255580,"Midcontinent Independent Transmission System Operator, Inc..",Fox River,Fox River
New Badger,44.277200,-88.267800,"Midcontinent Independent Transmission System Operator, Inc..",Fox River,Fox River
Old Badger,44.277200,-88.267800,"Midcontinent Independent Transmission System Operator, Inc..",Fox River,Fox River
Rapide Croche,44.316400,-88.314700,"Midcontinent Independent Transmission System Operator, Inc..",Fox River,Fox River
La Farge,43.572200,-90.639100,"Midcontinent Independent Transmission System Operator, Inc..",Radiator Cooled,Radiator Cooled
Manitowoc,44.082000,-87.655800,"Midcontinent Independent Transmission System Operator, Inc..",Lake Michigan,Lake Michigan
New Lisbon,43.879700,-90.164500,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Viola,43.507000,-90.669000,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Alma,44.308333,-91.911111,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Flambeau Hydroelectric Station,45.491826,-91.047211,"Midcontinent Independent Transmission System Operator, Inc..",Flambeau River,Flambeau River
Genoa,43.558900,-91.232500,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Stiles,44.874700,-88.158600,"Midcontinent Independent Transmission System Operator, Inc..",Oconto River,Oconto River
Washington Island,45.370922,-86.930822,"Midcontinent Independent Transmission System Operator, Inc..",,
Neil Simpson,44.287200,-105.387800,Western Area Power Administration - Rocky Mountain Region,Wells,Wells
Osage (WY),43.970300,-104.410600,Western Area Power Administration - Rocky Mountain Region,Wells,Wells
Dave Johnston,42.837800,-105.776900,PacifiCorp - East,North Platte River,North Platte River
Naughton,41.758100,-110.598300,PacifiCorp - East,Hams Fork River,Hams Fork River
Fremont Canyon,42.476600,-106.795901,Western Area Power Administration UGP West,North Platte River,North Platte River
Glendo,42.467254,-104.955526,Western Area Power Administration UGP West,North Platte River,North Platte River
Guernsey,42.289868,-104.760634,Western Area Power Administration UGP West,North Platte River,North Platte River
Kortes,42.174301,-106.880543,Western Area Power Administration UGP West,North Platte River,North Platte River
Seminoe,42.156127,-106.908483,Western Area Power Administration UGP West,North Platte Medicine Bow Rive,North Platte Medicine Bow Rive
Shoshone (WY),44.502897,-109.181228,Western Area Power Administration UGP West,Shoshone River,Shoshone River
Fontenelle,42.027013,-110.063973,Western Area Power Administration UGP West,Fontenelle Reservoir-Green Riv,Fontenelle Reservoir-Green Riv
Powerlane Plant,33.170700,-96.126400,"Electric Reliability Council of Texas, Inc.",No 4 Resevoir,No 4 Resevoir
Combined Locks,44.273511,-88.300548,"Midcontinent Independent Transmission System Operator, Inc..",Fox River,Fox River
Island Park,44.418293,-111.395971,Bonneville Power Administration,Island Park,Island Park
PHP 1,45.481708,-122.083188,Portland General Electric Company,Bull Run River,Bull Run River
PHP 2,45.448977,-122.151257,Portland General Electric Company,Bull Run River,Bull Run River
Logan City,41.725833,-111.843300,PacifiCorp - East,Municipality,Municipality
Walnut,37.490300,-120.904400,Turlock Irrigation District,,
Easton 2,38.795000,-76.070000,"PJM Interconnection, LLC",Municipality,Municipality
Greenup Hydro,38.647200,-82.859400,"PJM Interconnection, LLC",Ohio River,Ohio River
Endicott Station,42.031700,-84.755000,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Echo Dam,40.964828,-111.433937,PacifiCorp - East,Echo Reservoir,Echo Reservoir
Joes Valley Dam,39.287500,-111.266389,,Joes Valley Reservoir,Joes Valley Reservoir
Spencer,33.197500,-97.106100,"Electric Reliability Council of Texas, Inc.",Municipality,Municipality
Waterford 3,29.995267,-90.471581,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
John P Madgett,44.303583,-91.912647,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Thomas C Ferguson,30.558000,-98.370500,"Electric Reliability Council of Texas, Inc.",Lake Lyndon B. Johnson,Lake Lyndon B. Johnson
Barney M Davis,27.606400,-97.311700,"Electric Reliability Council of Texas, Inc.",Laguna Madre,Laguna Madre
Riverside (OK),35.997800,-95.956700,Southwest Power Pool,Arkansas River,Arkansas River
Navajo,36.904700,-111.388600,Salt River Project,Lake Powell,Lake Powell
Cumberland (NJ),39.375700,-74.965400,"PJM Interconnection, LLC",,
Donald C Cook,41.975604,-86.565206,"PJM Interconnection, LLC",Lake Michigan,Lake Michigan
Joseph M Farley,31.223100,-85.111600,"Southern Company Services, Inc. - Trans",Chattahoochee River,Chattahoochee River
James H Miller Jr,33.631900,-87.059700,"Southern Company Services, Inc. - Trans",Black Warrior River,Black Warrior River
FirstEnergy Pleasants Power Station,39.366667,-81.294444,"PJM Interconnection, LLC",Ohio River,Ohio River
Racine,38.915300,-81.908100,"PJM Interconnection, LLC",Ohio River,Ohio River
Palo Verde,33.388100,-112.861700,Salt River Project,Phoenix Area Sewage Effluent,Phoenix Area Sewage Effluent
White Bluff,34.422800,-92.140600,"Midcontinent Independent Transmission System Operator, Inc..",Arkansas River,Arkansas River
Calvert Cliffs Nuclear Power Plant,38.434400,-76.441700,"PJM Interconnection, LLC",Chesapeake Bay,Chesapeake Bay
Sherman,42.729700,-72.930300,ISO New England Inc.,Deerfield River,Deerfield River
Olive,34.176400,-118.314700,Los Angeles Department of Water and Power,Municipality,Municipality
Brunswick Nuclear,33.959700,-78.011400,Duke Energy Progress East,Atlantic Ocean (Cape Fear),Atlantic Ocean (Cape Fear)
Harris,35.633400,-78.955600,Duke Energy Progress East,Shearon Harris Reservoir,Shearon Harris Reservoir
Duck Creek,40.466300,-89.984100,"Midcontinent Independent Transmission System Operator, Inc..",Duck Creek Reservoir,Duck Creek Reservoir
Newton,38.936100,-88.278100,"Midcontinent Independent Transmission System Operator, Inc..","Laws Creek, Sandy Creek","Laws Creek, Sandy Creek"
East Bend,38.903600,-84.851400,"PJM Interconnection, LLC",Ohio River,Ohio River
W H Zimmer,38.867500,-84.228900,"PJM Interconnection, LLC",Ohio River,Ohio River
Perry,41.800600,-81.143900,"PJM Interconnection, LLC",Lake Erie,Lake Erie
Craig (CO),40.462700,-107.591200,Western Area Power Administration - Rocky Mountain Region,Yampa River,Yampa River
Braidwood Generation Station,41.243500,-88.228600,"PJM Interconnection, LLC",Kanakee River,Kanakee River
Byron Generating Station,42.074200,-89.281900,"PJM Interconnection, LLC",Rock River,Rock River
Collins,41.346111,-88.392777,,Illinois River,Illinois River
LaSalle Generating Station,41.245498,-88.669066,"PJM Interconnection, LLC",Illinois River,Illinois River
Coal Creek,47.377743,-101.157058,"Midcontinent Independent Transmission System Operator, Inc..",Missouri River,Missouri River
Killen Station,38.690300,-83.480300,"PJM Interconnection, LLC",Ohio River,Ohio River
Belle River,42.775600,-82.495000,"Midcontinent Independent Transmission System Operator, Inc..",St. Clair River,St. Clair River
Greenwood (MI),43.105600,-82.696400,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Catawba,35.051400,-81.069400,Duke Energy Carolinas,Lake Wylie,Lake Wylie
McGuire,35.433100,-80.948600,Duke Energy Carolinas,Lake Norman,Lake Norman
Beaver Valley,40.621900,-80.433600,"PJM Interconnection, LLC",Ohio River,Ohio River
H L Spurlock,38.700000,-83.818100,"PJM Interconnection, LLC",Wells/Ohio River,Wells/Ohio River
Manatee,27.605800,-82.345600,Florida Power & Light Company,Little Manatee River,Little Manatee River
Martin,27.053600,-80.562800,Florida Power & Light Company,St. Lucie Canal,St. Lucie Canal
St Lucie,27.348611,-80.246389,Florida Power & Light Company,Atlantic Ocean,Atlantic Ocean
DeBary,28.903863,-81.332329,Progress Energy Florida,,
Deerfield 2,42.573084,-72.707274,ISO New England Inc.,Deerfeld River,Deerfeld River
West Tisbury Generating Facility,41.392486,-70.620089,ISO New England Inc.,Town,Town
Edwin I Hatch,31.934200,-82.344700,"Southern Company Services, Inc. - Trans",Altamah River,Altamah River
Wansley,33.413420,-85.032329,"Southern Company Services, Inc. - Trans",Chattahoochee River,Chattahoochee River
Big Cajun 2,30.726100,-91.369200,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Kahului,20.896884,-156.462696,,Pacific Ocean - wells,Pacific Ocean - wells
Cascade Creek,44.032200,-92.490800,"Midcontinent Independent Transmission System Operator, Inc..",,
Coachella,33.675800,-116.171400,Imperial Irrigation District,Municipality,Municipality
R D Morrow,31.218600,-89.394000,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Electrifarm,42.440700,-92.420500,"Midcontinent Independent Transmission System Operator, Inc..",,
Nearman Creek,39.168100,-94.697500,Southwest Power Pool,Missouri River,Missouri River
Iatan,39.447200,-94.980000,Southwest Power Pool,Missouri River,Missouri River
Jeffrey Energy Center,39.286453,-96.117231,Southwest Power Pool,Kansas River,Kansas River
Trimble County,38.584700,-85.411700,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,Ohio River,Ohio River
Grand Gulf,32.008100,-91.047800,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River Aquifer,Mississippi River Aquifer
Victor J Daniel Jr,30.532200,-88.555300,"Southern Company Services, Inc. - Trans",Municipality,Municipality
Greenwood (MO),38.861500,-94.298200,Southwest Power Pool,,
Colstrip,45.883100,-106.614000,NorthWestern Energy (NWMT),Yellowstone River,Yellowstone River
Gerald Gentleman,41.080800,-101.140800,Southwest Power Pool,Sutherland Supply Canal,Sutherland Supply Canal
Stony Brook,42.197800,-72.510600,ISO New England Inc.,Municipality,Municipality
Somerset Operating Co LLC,43.358889,-78.604722,New York Independent System Operator,Lake Ontario,Lake Ontario
Deerfield 3,42.599500,-72.733500,ISO New England Inc.,Deerfield River,Deerfield River
R M Schahfer,41.216400,-87.026100,"Midcontinent Independent Transmission System Operator, Inc..",Kankakee River,Kankakee River
Cornell,45.164024,-91.157427,"Midcontinent Independent Transmission System Operator, Inc..",Chippewa River,Chippewa River
Wallace Dam,33.349800,-83.157400,"Southern Company Services, Inc. - Trans",Oconee River,Oconee River
North Loop,32.401000,-111.126200,Tucson Electric Power Company,Well,Well
Lewis & Clark,47.678500,-104.156650,"Midcontinent Independent Transmission System Operator, Inc..",Yellowstone River,Yellowstone River
Sherburne County,45.380800,-93.893100,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Spirit Mound,42.897663,-96.990494,Southwest Power Pool,,
FirstEnergy Bruce Mansfield,40.634800,-80.415900,"PJM Interconnection, LLC",Ohio River,Ohio River
Sooner,36.453070,-97.052790,Southwest Power Pool,Sooner Lake,Sooner Lake
Nebraska City,40.621400,-95.776400,Southwest Power Pool,Missouri River,Missouri River
Big Stone,45.303652,-96.510067,"Midcontinent Independent Transmission System Operator, Inc..",Big Stone Lake,Big Stone Lake
Diablo Canyon,35.211536,-120.855542,California Independent System Operator,Pacific Ocean,Pacific Ocean
Helms Pumped Storage,37.029304,-118.968252,California Independent System Operator,Courtwright & Lake Wishon,Courtwright & Lake Wishon
Wyodak,44.290128,-105.381482,PacifiCorp - East,Municipality,Municipality
TalenEnergy Susquehanna,41.091900,-76.146200,"PJM Interconnection, LLC",Susquehanna River,Susquehanna River
Limerick,40.224303,-75.587440,"PJM Interconnection, LLC",Schuylkill & Delaware Rivers,Schuylkill & Delaware Rivers
Boardman,45.693182,-119.808819,Portland General Electric Company,Carty Reservoir,Carty Reservoir
James A Fitzpatrick,43.521390,-76.408394,New York Independent System Operator,Lake Ontario,Lake Ontario
Fort St Vrain,40.246100,-104.874200,Public Service Company of Colorado,So Platte River/St Vrain Creek,So Platte River/St Vrain Creek
Gibson,38.372222,-87.765833,"Midcontinent Independent Transmission System Operator, Inc..",Gibson Lake,Gibson Lake
Seabrook,42.899167,-70.848889,ISO New England Inc.,Atlantic Ocean,Atlantic Ocean
PSEG Hope Creek Generating Station,39.466600,-75.537700,"PJM Interconnection, LLC",Delaware River,Delaware River
Deerfield 4,42.619800,-72.737600,ISO New England Inc.,Deerfield River,Deerfield River
Whitehorn,48.885636,-122.751640,Puget Sound Energy,Whatcom PUD,Whatcom PUD
R E Ginna Nuclear Power Plant,43.277700,-77.309900,New York Independent System Operator,Lake Ontario,Lake Ontario
McIntosh,32.356287,-81.168347,"Southern Company Services, Inc. - Trans",Savannah River,Savannah River
Shrewsbury,42.274700,-71.717200,ISO New England Inc.,,
Fairfield Pumped Storage,34.306100,-81.330800,South Carolina Electric & Gas Company,Broad River,Broad River
V C Summer,34.298300,-81.315300,South Carolina Electric & Gas Company,Broad River,Broad River
Amistad Dam & Power,29.449827,-101.060110,"Electric Reliability Council of Texas, Inc.",Rio Grande,Rio Grande
Carters,34.612100,-84.673300,"Southern Company Services, Inc. - Trans",Coosawattee River,Coosawattee River
Jones Bluff,32.324242,-86.784319,"Southern Company Services, Inc. - Trans",Alabama River,Alabama River
Richard B Russell,34.025600,-82.595300,Southeastern Power Administration,Savannah River,Savannah River
West Point (GA),32.918674,-85.188700,"Southern Company Services, Inc. - Trans",Chattahoochee River,Chattahoochee River
Gibbons Creek,30.619937,-96.081846,"Electric Reliability Council of Texas, Inc.",Gibbons Creek,Gibbons Creek
A B Brown,37.905300,-87.715000,"Midcontinent Independent Transmission System Operator, Inc..",Ohio River,Ohio River
Flint Creek,36.256100,-94.524100,Southwest Power Pool,Flint Creek Reservoir,Flint Creek Reservoir
Welsh,33.055220,-94.839993,Southwest Power Pool,Swauano Creek Reserv,Swauano Creek Reserv
Clarence Cannon,39.524791,-91.643969,"Associated Electric Cooperative, Inc.",Mark Twain Lake,Mark Twain Lake
Harry Truman,38.262300,-93.406200,Southwestern Power Administration,Osage River,Osage River
Ozark,35.469300,-93.817500,Southwestern Power Administration,Arkansas River,Arkansas River
Kansas City International,39.297252,-94.693153,Southwest Power Pool,,
Comanche Peak,32.298365,-97.785515,"Electric Reliability Council of Texas, Inc.",Squaw Creek,Squaw Creek
Martin Lake,32.260600,-94.570600,"Electric Reliability Council of Texas, Inc.",Martin Lake,Martin Lake
Monticello,33.091700,-95.041700,"Electric Reliability Council of Texas, Inc.",Monticello Reservoir,Monticello Reservoir
Davis Besse,41.596700,-83.086100,"PJM Interconnection, LLC",Lake Erie,Lake Erie
Bellefonte,34.709200,-85.927800,Tennessee Valley Authority,Guntersville Reservoir,Guntersville Reservoir
Raccoon Mountain,35.055795,-85.387934,Tennessee Valley Authority,Tennessee River Nickajack Rese,Tennessee River Nickajack Rese
Sequoyah,35.226700,-85.091700,Tennessee Valley Authority,Chickamauga Reservoir,Chickamauga Reservoir
Callaway,38.758919,-91.778841,"Midcontinent Independent Transmission System Operator, Inc..",Missouri River,Missouri River
Rush Island,38.131248,-90.263157,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
New Haven Harbor,41.283997,-72.904323,ISO New England Inc.,New Haven Harbor,New Haven Harbor
New Melones,37.946927,-120.528211,Western Area Power Administration - Desert Southwest Region,Stanislaus River,Stanislaus River
Crystal,38.510573,-107.625335,Western Area Power Administration - Rocky Mountain Region,Crystal Reservoir-Gunnison Riv,Crystal Reservoir-Gunnison Riv
Grand Coulee,47.957511,-118.977323,Bonneville Power Administration,Columbia River,Columbia River
Hunter,39.174700,-111.028900,PacifiCorp - East,Cottonwood Creek,Cottonwood Creek
Rockport,37.925600,-87.037200,"PJM Interconnection, LLC",Ohio River,Ohio River
Bath County,38.208890,-79.800000,"PJM Interconnection, LLC",Back Creek,Back Creek
North Anna,38.060000,-77.789700,"PJM Interconnection, LLC",North Anna River,North Anna River
Pleasant Prairie,42.538100,-87.903300,"Midcontinent Independent Transmission System Operator, Inc..",Lake Michigan,Lake Michigan
Laurel Dam,36.961400,-84.270000,"PJM Interconnection, LLC",Laurel River,Laurel River
Libby,48.409800,-115.314300,Bonneville Power Administration,Kootenai River,Kootenai River
Lost Creek,42.671700,-122.677200,PacifiCorp - West,Rogue River,Rogue River
Lower Granite,46.659503,-117.429385,Bonneville Power Administration,Snake And Columbia Rivers,Snake And Columbia Rivers
Coronado,34.578900,-109.270800,Salt River Project,Wells,Wells
Coleto Creek,28.712800,-97.214167,"Electric Reliability Council of Texas, Inc.",Coleto Creek Reservoir,Coleto Creek Reservoir
Fayette Power Project,29.917200,-96.750600,"Electric Reliability Council of Texas, Inc.",Fayette County Lake,Fayette County Lake
Oak Grove (TX),31.180300,-96.486600,"Electric Reliability Council of Texas, Inc.",Twin Oak Reservoir,Twin Oak Reservoir
J T Deely,29.308056,-98.322800,"Electric Reliability Council of Texas, Inc.",San Antonio River,San Antonio River
San Miguel,28.704400,-98.477500,"Electric Reliability Council of Texas, Inc.",Wells,Wells
Harris Dam,33.258281,-85.616047,"Southern Company Services, Inc. - Trans",Tallapoosa River,Tallapoosa River
Rocky Mountain Hydroelectric Plant,34.355538,-85.303942,"Southern Company Services, Inc. - Trans",Heath Creek,Heath Creek
Brame Energy Center,31.395000,-92.716667,"Midcontinent Independent Transmission System Operator, Inc..",Rodemacher Lake,Rodemacher Lake
Portland (FL),30.573611,-86.215833,PowerSouth Energy Cooperative,,
Harrington,35.298160,-101.747187,Southwest Power Pool,Municipality,Municipality
Tolk,34.186494,-102.569990,Southwest Power Pool,Wells,Wells
John Twitty Energy Center,37.151706,-93.388040,Southwest Power Pool,SW Wastewater Treatment Plant,SW Wastewater Treatment Plant
W E Warne,34.685300,-118.788100,California Independent System Operator,Water From Penstocks Ca Aquedu,Water From Penstocks Ca Aquedu
Rock Island,47.346111,-120.091700,Public Utility District No. 1 of Chelan County,Columbia River,Columbia River
Ross,48.732577,-121.067880,Seattle City Light,Skagit River,Skagit River
Laramie River Station,42.108889,-104.882500,Western Area Power Administration - Rocky Mountain Region,Grayrocks Dam Laramie River,Grayrocks Dam Laramie River
Tacoma,37.523720,-107.782786,Western Area Power Administration - Rocky Mountain Region,Electra Lake,Electra Lake
Ames Hydro,37.866000,-107.883100,Western Area Power Administration - Rocky Mountain Region,Trout Lake & Lake Hope,Trout Lake & Lake Hope
Mount Elbert,39.094197,-106.352331,Western Area Power Administration - Rocky Mountain Region,Fryingpan River,Fryingpan River
Northeast (WA),47.735110,-117.370538,Avista Corporation,,
Dynegy Oakland Power Plant,37.796750,-122.281850,California Independent System Operator,,
Mobile GT,40.741389,-124.210278,California Independent System Operator,,
Merom,39.069400,-87.510800,"Midcontinent Independent Transmission System Operator, Inc..",Turtle Creek Reservoir,Turtle Creek Reservoir
Durant,41.599760,-90.911950,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Wells
Empire Energy Center,37.138500,-94.104100,Southwest Power Pool,,
Mobile,40.883013,-97.601363,Southwest Power Pool,Mounted Reservoir,Mounted Reservoir
Apple River,45.157552,-92.716214,"Midcontinent Independent Transmission System Operator, Inc..",Apple River,Apple River
Pittsfield,39.643600,-90.635300,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Pearl Station,39.449185,-90.614119,"Midcontinent Independent Transmission System Operator, Inc..",Illinois River,Illinois River
Dansby,30.721700,-96.460800,"Electric Reliability Council of Texas, Inc.",Lake Bryan,Lake Bryan
Putnam,29.628338,-81.585084,Florida Power & Light Company,St. Johns River,St. Johns River
Pawnee,40.221700,-103.680300,Public Service Company of Colorado,Wells,Wells
Winyah,33.331840,-79.357236,South Carolina Public Service Authority,Wadmacon Creek,Wadmacon Creek
Mayo,36.527800,-78.891700,Duke Energy Progress East,Mayo Lake (Mayo Creek),Mayo Lake (Mayo Creek)
South Texas Project,28.795000,-96.048100,"Electric Reliability Council of Texas, Inc.",Colorado River,Colorado River
Germantown,43.195200,-88.149600,"Midcontinent Independent Transmission System Operator, Inc..",,
Ottumwa,41.096100,-92.555833,"Midcontinent Independent Transmission System Operator, Inc..",Des Moines River,Des Moines River
Scherer,33.060600,-83.807500,"Southern Company Services, Inc. - Trans",Lake Juliette,Lake Juliette
Wilson,33.137711,-81.748294,"Southern Company Services, Inc. - Trans",,
Mountaineer,38.979400,-81.934400,"PJM Interconnection, LLC",Ohio River,Ohio River
Swift 2,46.059400,-122.259400,PacifiCorp - West,Lewis River,Lewis River
Ozark Beach,36.658995,-93.123500,Southwest Power Pool,White River,White River
Kodiak Microgrid,57.789956,-152.396982,,Municipality,Municipality
Port Lions Microgrid,57.864775,-152.855441,,Municipality,Municipality
Seldovia,59.439542,-151.713439,,,
North Pole,64.735600,-147.348100,,Municipality,Municipality
Fairbanks,64.854171,-147.719351,,,
Healy,63.854200,-148.950000,,Nenana River,Nenana River
Cooper Lake,60.392331,-149.665603,,Cooper Lake,Cooper Lake
Bernice Lake,60.693500,-151.387400,,,
International,61.168972,-149.911038,,,
Unalakleet,63.876789,-160.790414,,,
Naknek,58.730417,-157.007222,,,
Purple Lake,55.091263,-131.544978,,Purple Lake,Purple Lake
Kotzebue,66.837778,-162.556944,,,
Glennallen,62.110415,-145.532529,,Well,Well
Valdez,61.130300,-146.364700,,,
Chevak,61.525297,-165.590152,,,
Emmonak,62.777694,-164.531517,,,
Hooper Bay,61.530858,-166.101944,,,
Kiana,66.973889,-160.428592,,,
Mountain Village,62.085569,-163.729072,,,
Noorvik,66.834519,-161.038717,,,
Nunapitchuk,60.895880,-162.459756,,,
St Marys IC,62.051525,-163.172567,,,
Selawik,66.606778,-160.014808,,,
Shishmaref,66.255072,-166.073589,,,
Togiak,59.059744,-160.380278,,,
Sixth Street Gas Turbine,42.792645,-86.103583,"Midcontinent Independent Transmission System Operator, Inc..",,
Hutchinson Plant #2,44.888881,-94.349348,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Felt,43.913476,-111.283319,PacifiCorp - East,Teton River,Teton River
Detour,45.983630,-83.907880,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Rokeby,40.731600,-96.736400,Southwest Power Pool,Well,Well
Ocracoke,35.109444,-75.979722,"PJM Interconnection, LLC",,
Dwight,42.149497,-72.610949,ISO New England Inc.,Chicopee River,Chicopee River
Indian Orchard,42.160954,-72.507631,ISO New England Inc.,Chicopee River,Chicopee River
Turners Falls,42.608042,-72.561458,ISO New England Inc.,Connecticut River,Connecticut River
Tangier,37.827700,-75.991500,"PJM Interconnection, LLC",Wells,Wells
Smith Island,37.995500,-76.038881,"PJM Interconnection, LLC",Wells,Wells
Strawberry Creek,42.905142,-110.893422,Bonneville Power Administration,Strawberry Creek,Strawberry Creek
Swift Creek,42.728439,-110.916592,Bonneville Power Administration,Swift Creek,Swift Creek
Anderson Ranch,43.357066,-115.451517,Bonneville Power Administration,South Fork Boise River,South Fork Boise River
Black Canyon,43.930462,-116.437172,Bonneville Power Administration,Payette River,Payette River
Boise R Diversion,43.537685,-116.093756,Idaho Power Company,Boise River,Boise River
Minidoka,42.669899,-113.483175,Bonneville Power Administration,Snake River,Snake River
Canyon Ferry,46.649026,-111.727874,Western Area Power Administration UGP West,Missouri River,Missouri River
Elephant Butte,33.153358,-107.191973,Western Area Power Administration - Rocky Mountain Region,Rio Grande,Rio Grande
Green Springs,42.121168,-122.547896,Bonneville Power Administration,Trans-Mountain Diversion,Trans-Mountain Diversion
Deer Creek (UT),40.404354,-111.528446,Western Area Power Administration UGP West,Deer Creek Reservoir,Deer Creek Reservoir
Flaming Gorge,40.914646,-109.421662,Western Area Power Administration UGP West,Flaming Gorge Reservoir-Green,Flaming Gorge Reservoir-Green
Chandler,46.266780,-119.589821,Bonneville Power Administration,Yakima River,Yakima River
Roza,46.618413,-120.477759,Bonneville Power Administration,Yakima River,Yakima River
Heart Mountain,44.513767,-109.129588,Western Area Power Administration UGP West,Shoshone River,Shoshone River
Alcova,42.548412,-106.717536,Western Area Power Administration UGP West,North Platte River,North Platte River
Falcon Dam & Power,26.557500,-99.164200,"Electric Reliability Council of Texas, Inc.",Rio Grande,Rio Grande
Sam Rayburn Dam,31.060893,-94.106200,"Midcontinent Independent Transmission System Operator, Inc..",Angelina River,Angelina River
Whitney,31.869400,-97.366700,"Electric Reliability Council of Texas, Inc.",Brazos River,Brazos River
Broken Bow Dam,34.138779,-94.684498,Southwest Power Pool,Mountain Fork River,Mountain Fork River
Denison,33.818100,-96.569200,"Electric Reliability Council of Texas, Inc.",Red River,Red River
Center Hill,36.097200,-85.827400,Tennessee Valley Authority,Caney Fork River,Caney Fork River
Cheatham,36.320800,-87.221900,Tennessee Valley Authority,Cumberland River,Cumberland River
Eufaula Dam,35.306900,-95.357200,Southwestern Power Administration,Canadian River,Canadian River
Lemolo 2,43.280611,-122.402480,PacifiCorp - West,North Umpqua River,North Umpqua River
Madison Dam,45.487869,-111.633807,NorthWestern Energy (NWMT),Madison River,Madison River
Chelan,47.834700,-120.013300,Public Utility District No. 1 of Chelan County,Chelan River,Chelan River
Cedar Falls (WA),47.419300,-121.781858,Seattle City Light,Cedar River,Cedar River
Gorge,48.698056,-121.208611,Seattle City Light,Skagit River,Skagit River
Diablo,48.713853,-121.131736,Seattle City Light,Skagit River,Skagit River
Boundary,48.987111,-117.347847,Seattle City Light,Pend Oreille River,Pend Oreille River
Queens Creek,35.271270,-83.676016,Duke Energy Carolinas,Queens Creek,Queens Creek
Wilson Dam,34.797820,-87.625370,Tennessee Valley Authority,Tennessee River,Tennessee River
Azusa,34.154800,-117.909300,California Independent System Operator,San Gabriel River,San Gabriel River
Proctor,43.662775,-73.034023,ISO New England Inc.,Otter Creek,Otter Creek
Beldens,44.052500,-73.176200,ISO New England Inc.,Otter Creek,Otter Creek
Carver Falls,43.626200,-73.307300,ISO New England Inc.,Poultney River,Poultney River
Big Fork,48.059200,-114.070800,PacifiCorp - East,Swan River,Swan River
River Bend,30.757000,-91.332700,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Mississippi River
Ames GT,42.027200,-93.582800,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Antelope Valley,47.370542,-101.835660,Southwest Power Pool,Lake Sakakawea,Lake Sakakawea
Port Allen (HI),21.899583,-159.585042,,Pacific Ocean,Pacific Ocean
Gorge 18,44.489997,-73.169312,ISO New England Inc.,Winooski River,Winooski River
Shipman,19.723900,-155.069000,,Pacific Ocean,Pacific Ocean
San Francisquito 1,34.590183,-118.454676,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Aqueduct
San Francisquito 2,34.534337,-118.525113,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Aqueduct
Intermountain Power Project,39.509731,-112.580180,Los Angeles Department of Water and Power,DMAD Reservoir,DMAD Reservoir
Cline Falls,44.277800,-121.256400,PacifiCorp - West,Deschutes River,Deschutes River
Mcindoes,44.260300,-72.059200,ISO New England Inc.,Connecticut River,Connecticut River
