name,latitude,longitude,authority,source,owner
Bankhead Dam,33.458665,-87.356823,"Southern Company Services, Inc. - Trans",Black Warrior River,Alabama Power Co
Barry,31.006900,-88.010300,"Southern Company Services, Inc. - Trans",Mobile River,Alabama Power Co
Walter Bouldin Dam,32.583889,-86.283056,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Gadsden,34.012800,-85.970800,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Gorgas,33.644344,-87.196486,"Southern Company Services, Inc. - Trans",Warrior River,Alabama Power Co
Copper,31.756900,-106.375000,El Paso Electric Company,Municipality,El Paso Electric Co
Greene County,32.601700,-87.781100,"Southern Company Services, Inc. - Trans",Black Warrior River,Alabama Power Co
H Neely Henry Dam,33.784500,-86.052400,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Holt Dam,33.255300,-87.449500,"Southern Company Services, Inc. - Trans",Black Warrior River,Alabama Power Co
Jordan Dam,32.618900,-86.254800,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Logan Martin Dam,33.425878,-86.337547,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Lay Dam,32.963300,-86.518700,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Martin Dam,32.680394,-85.911442,"Southern Company Services, Inc. - Trans",Tallapoosa River,Alabama Power Co
Mitchell Dam,32.806025,-86.444892,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Lewis Smith Dam,33.940600,-87.107700,"Southern Company Services, Inc. - Trans",Sipsey Fork Black Warrior Rive,Alabama Power Co
Thurlow Dam,32.535436,-85.887614,"Southern Company Services, Inc. - Trans",Tallapoosa River,Alabama Power Co
Weiss Dam,34.172142,-85.753806,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Yates Dam,32.574300,-85.890100,"Southern Company Services, Inc. - Trans",Tallapoosa River,Alabama Power Co
E C Gaston,33.244211,-86.458056,"Southern Company Services, Inc. - Trans",Coosa River,Alabama Power Co
Madelia,44.050100,-94.417800,"Midcontinent Independent Transmission System Operator, Inc..",,City of Madelia - (MN)
Rollins,39.134259,-120.953341,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Millers Ferry,32.100881,-87.399767,"Southern Company Services, Inc. - Trans",Alabama River,Alabama Power Co
Browns Ferry,34.704200,-87.118900,Tennessee Valley Authority,Tennessee River,Tennessee Valley Authority
Colbert,34.743900,-87.848600,Tennessee Valley Authority,Tennessee River,Tennessee Valley Authority
Guntersville,34.421272,-86.393931,Tennessee Valley Authority,Tennessee River,Tennessee Valley Authority
Wheeler Dam,34.806900,-87.381900,Tennessee Valley Authority,Tennessee River,Tennessee Valley Authority
Widows Creek,34.883022,-85.755253,Tennessee Valley Authority,Tennessee River,Tennessee Valley Authority
Dolet Hills,32.030556,-93.569167,"Midcontinent Independent Transmission System Operator, Inc..",Toledo Bend Lake,Cleco Power LLC
Gantt,31.403300,-86.479469,PowerSouth Energy Cooperative,Conecuh River,PowerSouth Energy Cooperative
J K Smith,37.883300,-84.101700,"PJM Interconnection, LLC",Kentucky River,"East Kentucky Power Coop, Inc"
Point A,31.361146,-86.518307,PowerSouth Energy Cooperative,Conecuh River,PowerSouth Energy Cooperative
Charles R Lowman,31.488019,-87.910747,PowerSouth Energy Cooperative,Tombigbee River,PowerSouth Energy Cooperative
Platte,40.854765,-98.348222,Southwest Power Pool,Wells,City of Grand Island - (NE)
Whelan Energy Center,40.580872,-98.312437,Southwest Power Pool,Wells,Nebraska Public Power District
Annex Creek,58.317600,-134.101000,,Annex Creek Lake,Alaska Electric Light&Power Co
Gold Creek,58.310700,-134.417400,,Gold Creek,Alaska Electric Light&Power Co
Lemon Creek,58.353600,-134.495300,,,Alaska Electric Light&Power Co
Salmon Creek 1,58.326900,-134.463100,,Salmon Creek Reservoir,Alaska Electric Light&Power Co
Skagway,59.454500,-135.313100,,Dewey Lake,Alaska Power and Telephone Co
Haines,59.235931,-135.446228,,,Alaska Power and Telephone Co
Swan Lake,55.615208,-131.356111,No BA,Swan Lake,Ketchikan Public Utilities
Terror Lake Microgrid,57.686100,-152.895000,,Terror Lake,Kodiak Electric Assn Inc
Venice Hydro,34.011350,-118.416800,California Independent System Operator,River,Southern California Edison Co
Anchorage 1,61.222100,-149.866100,,,Anchorage Municipal Light and Power
Eklutna Hydro Project,61.475211,-149.150090,,Eklutna Lake,Chugach Electric Assn Inc
Snettisham,58.141500,-133.737000,,Long Lake And Crater Lake,Alaska Electric Light&Power Co
Aurora Energy LLC Chena,64.847743,-147.735063,,Chena River,Golden Valley Elec Assn Inc
Ketchikan,55.344641,-131.633425,,Ketchikan Lakes,Ketchikan Public Utilities
S W Bailey,55.357397,-131.696960,,Municipality,Ketchikan Public Utilities
Escalante,35.415900,-108.082000,Western Area Power Administration - Rocky Mountain Region,Wells,"Tri-State G & T Assn, Inc"
Ashokan,41.949000,-74.206300,New York Independent System Operator,Ashokan Reservoir,Central Hudson Gas & Elec Corp
Snake River,64.505331,-165.429814,,Municipality,Nome Joint Utility Systems
Petersburg,56.811040,-132.957091,,Crystal Lake,Petersburg Borough - (AK)
Seward (AK),60.130922,-149.435010,,Municipality,City of Seward - (AK)
Blue Lake Hydro,57.051600,-135.229700,,Blue Lake,City & Borough of Sitka - (AK)
Wrangell,56.460976,-132.379439,,,City of Wrangell - (AK)
Beluga,61.186100,-151.035600,,Well,Chugach Electric Assn Inc
Frederickson,47.079722,-122.365000,Puget Sound Energy,City of Tacoma,Puget Sound Energy Inc
South Consolidated,33.466477,-111.781064,Salt River Project,South Consolidated Canal,Salt River Project
J S Eastwood,37.147926,-119.256700,California Independent System Operator,San Joaquin River,Southern California Edison Co
Holcomb,37.930800,-100.972500,Southwest Power Pool,Wells,Sunflower Electric Power Corp
Dillingham,59.042914,-158.468597,,,"Nushagak Electric Coop, Inc"
Childs,34.351111,-111.700556,,Fossil Creek/Natural Spring,
Cholla,34.939400,-110.303300,Arizona Public Service Company,Lake Wells,Arizona Public Service Co
Douglas,31.364122,-109.553800,Arizona Public Service Company,Municipality,Arizona Public Service Co
Irving,34.402222,-111.617222,,Fossil Creek/Natural Spring,
Ocotillo,33.422500,-111.912200,Arizona Public Service Company,Wells,Arizona Public Service Co
West Phoenix,33.441700,-112.158300,Arizona Public Service Company,Wells,Arizona Public Service Co
Saguaro,32.551700,-111.300000,Arizona Public Service Company,Wells,Arizona Public Service Co
Yucca,32.721400,-114.710600,Arizona Public Service Company,Wells,Arizona Public Service Co
Demoss Petrie,32.252273,-110.992148,Tucson Electric Power Company,Wells,Tucson Electric Power Co
H Wilson Sundt Generating Station,32.160000,-110.904700,Tucson Electric Power Company,Wells,Tucson Electric Power Co
Oklaunion,34.082500,-99.175300,Southwest Power Pool,Municipality,Public Service Co of Oklahoma
Cross,33.371506,-80.113235,South Carolina Public Service Authority,Diversion Canal,South Carolina Public Service Authority
Seminole (FL),29.733056,-81.632778,Seminole Electric Cooperative,St Johns River,Seminole Electric Cooperative Inc
Agua Fria,33.556100,-112.215300,Salt River Project,Wells,Salt River Project
Crosscut,33.439375,-111.946052,Salt River Project,Crosscut Canal,Salt River Project
Horse Mesa,33.590700,-111.344000,Salt River Project,Salt River,Salt River Project
Kyrene,33.355600,-111.935300,Salt River Project,Well Water,Salt River Project
Mormon Flat,33.553600,-111.443100,Salt River Project,Salt River,Salt River Project
Roosevelt,33.671104,-111.161786,Salt River Project,Salt River,Salt River Project
Stewart Mountain,33.566100,-111.536000,Salt River Project,Salt River,Salt River Project
McClure,37.629360,-120.931390,Balancing Authority of Northern California,Municipality,Modesto Irrigation District
Davis Dam,35.197044,-114.570669,Western Area Power Administration - Desert Southwest Region,Colorado River,WAPA-- Western Area Power Administration
Glen Canyon Dam,36.936614,-111.483872,Western Area Power Administration - Desert Southwest Region,Lake Powell - Colorado River,WAPA-- Western Area Power Administration
Hoover Dam (NV),36.015510,-114.738006,Western Area Power Administration - Desert Southwest Region,Lake Mead  - Colorado River,WAPA-- Western Area Power Administration
Lake Creek Dam,40.493631,-111.312506,PacifiCorp - East,Lake Creek,Heber Light & Power Company
Apache Station,32.060300,-109.893100,Western Area Power Administration - Desert Southwest Region,Wells,Arizona Electric Pwr Coop Inc
Turlock Lake,37.611461,-120.594678,Turlock Irrigation District,Turlock Lake,Turlock Irrigation District
Hickman,37.621536,-120.746247,Turlock Irrigation District,Main Canal,Turlock Irrigation District
Big Pine,24.579167,-81.685000,,,
GREC,36.190278,-95.289400,Southwest Power Pool,Grand Neosho,Grand River Dam Authority
Carpenter,34.442500,-93.026200,"Midcontinent Independent Transmission System Operator, Inc..",Lake Hamilton,Entergy Arkansas Inc
Cecil Lynch,34.753500,-92.198700,"Midcontinent Independent Transmission System Operator, Inc..",Arkansas River,Entergy Arkansas Inc
Hamilton Moses,34.980600,-90.872200,"Midcontinent Independent Transmission System Operator, Inc..",L'Anquille River,Entergy Arkansas Inc
Harvey Couch,33.359200,-93.464900,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Entergy Arkansas Inc
Lake Catherine,34.434100,-92.904900,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Entergy Arkansas Inc
Mabelvale,34.635997,-92.409602,"Midcontinent Independent Transmission System Operator, Inc..",Air Cooled Condensor,Entergy Arkansas Inc
Osceola (AR),35.689300,-89.994000,"Midcontinent Independent Transmission System Operator, Inc..",NA,Entergy Arkansas Inc
Robert E Ritchie,34.462900,-90.598700,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy Arkansas Inc
Remmel,34.427200,-92.894100,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Entergy Arkansas Inc
Volta 2,40.451930,-121.862150,California Independent System Operator,Cross Country Canal,Pacific Gas & Electric Co
Beaver Dam,36.421507,-93.847373,Southwestern Power Administration,Beaver Lake,Southwestern Power Administration
Degray,34.211913,-93.110963,"Midcontinent Independent Transmission System Operator, Inc..",Caddo River,Entergy Arkansas Inc
Greers Ferry Lake,35.520700,-91.995300,Southwestern Power Administration,Greers Ferry Lake,Southwestern Power Administration
Paragould,36.060556,-90.521389,Southwestern Power Administration,Wells,Paragould Light & Water Comm
Municipal Light,36.385800,-90.186700,Southwestern Power Administration,Municipality,Southwestern Power Administration
Narrows (AR),34.148427,-93.715168,Southwest Power Pool,Little Missouri River,Southwestern Electric Power Co
Norfork,36.249100,-92.240100,Southwestern Power Administration,Norfork Lake,Southwestern Power Administration
Blakely Mountain,34.570984,-93.194425,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Entergy Arkansas Inc
Bull Shoals,36.363500,-92.576300,Southwestern Power Administration,Bull Shoals Lake,Southwestern Power Administration
Dardanelle,35.250300,-93.168600,Southwestern Power Administration,Arkansas River,Southwestern Power Administration
Thomas Fitzhugh,35.462382,-93.804926,Southwest Power Pool,Arkansas River,Southwestern Electric Power Co
Carl Bailey,35.260102,-91.363426,"Midcontinent Independent Transmission System Operator, Inc..",White River,Entergy Arkansas Inc
McClellan (AR),33.564800,-92.791700,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Entergy Arkansas Inc
Clinton Power Station,40.171900,-88.833900,"Midcontinent Independent Transmission System Operator, Inc..",Salt Creek,Ameren Illinois Company
St Johns River Power Park,30.430800,-81.550800,JEA,St. Johns River,JEA
Wolf Creek Generating Station,38.239260,-95.689780,Southwest Power Pool,Wolf Creek Cooling Lake,Kansas Gas & Electric Co
Alta Powerhouse,39.215979,-120.803550,California Independent System Operator,Towle Canal,Pacific Gas & Electric Co
Angels,38.071944,-120.539444,California Independent System Operator,North Fork Stanislaus River,Pacific Gas & Electric Co
Balch 1,36.909137,-119.087712,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Balch 2,36.908907,-119.087556,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Belden,40.007445,-121.249438,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Bucks Creek,39.910620,-121.327692,California Independent System Operator,Bucks Creek,Pacific Gas & Electric Co
Butt Valley,40.175656,-121.190663,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Caribou 1,40.085476,-121.148241,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Caribou 2,40.085997,-121.149373,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Centerville PH,39.788877,-121.657383,California Independent System Operator,Big Butte Creek,Pacific Gas & Electric Co
Chili Bar,38.771764,-120.813239,California Independent System Operator,South Fork American River,Pacific Gas & Electric Co
Coal Canyon,39.605043,-121.600525,California Independent System Operator,West Branch Feather River,Pacific Gas & Electric Co
Coleman PH,40.404645,-122.121904,California Independent System Operator,Battle Creek,Pacific Gas & Electric Co
Cow Creek,40.570817,-122.020930,California Independent System Operator,South Cow Creek,Pacific Gas & Electric Co
Cresta,39.825907,-121.409687,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
De Sabla,39.869265,-121.631819,California Independent System Operator,Big Butte Creek,Pacific Gas & Electric Co
Deer Creek PH,39.298070,-120.844300,California Independent System Operator,Deer Creek,Pacific Gas & Electric Co
Drum 1,39.256873,-120.767437,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Drum 2,39.257388,-120.767046,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Dutch Flat,39.216985,-120.835587,California Independent System Operator,Bear River,Pacific Gas & Electric Co
El Dorado,38.793574,-120.619152,California Independent System Operator,South Fork American River,Pacific Gas & Electric Co
Electra,38.330985,-120.669901,California Independent System Operator,North Fork Mokelumne River,Pacific Gas & Electric Co
Haas,36.927424,-119.020250,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Halsey,38.956985,-121.041932,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Hamilton Branch,40.268712,-121.089479,California Independent System Operator,Hamilton Branch Of Nf Feather,Pacific Gas & Electric Co
Hat Creek 1,40.929297,-121.544462,California Independent System Operator,Hat Creek,Pacific Gas & Electric Co
Hat Creek 2,40.960675,-121.548657,California Independent System Operator,Hat Creek,Pacific Gas & Electric Co
Humboldt Bay,40.741500,-124.210300,California Independent System Operator,Humboldt Bay,Pacific Gas & Electric Co
Hunters Point,37.733611,-122.389722,,San Francisco Bay,
Inskip,40.400988,-121.965502,California Independent System Operator,South & North Forks Battle Cre,Pacific Gas & Electric Co
James B Black,40.992295,-121.975182,California Independent System Operator,McCloud River & Iron Canyon Cr,Pacific Gas & Electric Co
Kerckhoff,37.092486,-119.552826,California Independent System Operator,San Joaquin River,Pacific Gas & Electric Co
Kilarc,40.677827,-121.873253,California Independent System Operator,North Fork Cow Creek,Pacific Gas & Electric Co
Kings River PH,36.888166,-119.158777,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Lime Saddle,39.698755,-121.570960,California Independent System Operator,Kunkle Creek & Wb Feather Rive,Pacific Gas & Electric Co
Merced Falls,37.523010,-120.329905,California Independent System Operator,Merced River,Pacific Gas & Electric Co
Dynegy Moss Landing Power Plant,36.804837,-121.782241,California Independent System Operator,Moss Landing Harbor,Pacific Gas & Electric Co
Murphys,38.147093,-120.446396,California Independent System Operator,Mill Creek & Nf Stanislaus Riv,Pacific Gas & Electric Co
Narrows PH,39.236400,-121.271741,California Independent System Operator,Yuba River,Pacific Gas & Electric Co
Phoenix,38.032103,-120.326537,California Independent System Operator,South Fork Stanislaus River,Pacific Gas & Electric Co
Pit 1,40.990840,-121.498243,California Independent System Operator,Fall River,Pacific Gas & Electric Co
Pit 3,40.997448,-121.748139,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Pit 4,40.986361,-121.849440,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Pit 5,40.986197,-121.977594,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Pit 6,40.922568,-121.992906,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Pit 7,40.847462,-121.990798,California Independent System Operator,Pit River,Pacific Gas & Electric Co
Poe,39.722892,-121.469814,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Potter Valley,39.361786,-123.127934,California Independent System Operator,Eel River,Pacific Gas & Electric Co
Rock Creek,39.905210,-121.345226,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
San Joaquin 2,37.203233,-119.497508,California Independent System Operator,North & South Forks Willow Cre,Pacific Gas & Electric Co
San Joaquin 3,37.253718,-119.519352,California Independent System Operator,North & South Forks Willow Cre,Pacific Gas & Electric Co
Salt Springs,38.497914,-120.218110,California Independent System Operator,Mokelumne River,Pacific Gas & Electric Co
South,40.395396,-121.879186,California Independent System Operator,South Fork Battle Creek,Pacific Gas & Electric Co
Spaulding 1,39.324613,-120.644807,California Independent System Operator,Lake Spaulding,Pacific Gas & Electric Co
Spaulding 2,39.324592,-120.645375,California Independent System Operator,Lake Spaulding,Pacific Gas & Electric Co
Spaulding 3,39.337679,-120.635467,California Independent System Operator,Lake Fuller,Pacific Gas & Electric Co
Spring Gap,38.186530,-120.111680,California Independent System Operator,Main Strawberry Reservoir,Pacific Gas & Electric Co
Stanislaus,38.139048,-120.370325,California Independent System Operator,Middle Fork Stanislaus River,Pacific Gas & Electric Co
Geysers Unit 5-20,38.777000,-122.745000,California Independent System Operator,Wells,Pacific Gas & Electric Co
Tiger Creek,38.449291,-120.492645,California Independent System Operator,North Fork Mokelumne River,Pacific Gas & Electric Co
Tule River,36.163076,-118.707104,California Independent System Operator,Tule River,Pacific Gas & Electric Co
Volta 1,40.459111,-121.867080,California Independent System Operator,"N Battle, Bailey & Millseat Cr",Pacific Gas & Electric Co
West Point PH,38.420898,-120.549572,California Independent System Operator,North Fork Mokelumne River,Pacific Gas & Electric Co
Wise,38.889862,-121.098525,California Independent System Operator,Tailwater From Halsey Plant,Pacific Gas & Electric Co
A G Wishon,37.151050,-119.504724,California Independent System Operator,North & South Forks Willow Cre,Pacific Gas & Electric Co
Copco 1,41.978914,-122.335317,PacifiCorp - West,Klamath River,PacifiCorp
Copco 2,41.975716,-122.358127,PacifiCorp - West,Klamath River,PacifiCorp
Fall Creek,41.985605,-122.360455,PacifiCorp - West,Fall Creek,PacifiCorp
Iron Gate,41.932981,-122.436780,PacifiCorp - West,Klamath River,PacifiCorp
Limestone,31.421900,-96.252500,"Electric Reliability Council of Texas, Inc.",Lake Limestone,CenterPoint Energy
Blundell,38.488900,-112.853300,PacifiCorp - East,Wells,PacifiCorp
Division,32.681667,-117.120277,,Municipality,
El Cajon,32.795800,-116.972200,California Independent System Operator,Municipality,San Diego Gas & Electric Co
Encina,33.136100,-117.336400,California Independent System Operator,Pacific Ocean,San Diego Gas & Electric Co
Kearny,32.834000,-117.133800,California Independent System Operator,Municipality,San Diego Gas & Electric Co
Miramar,32.876100,-117.166400,California Independent System Operator,Municipality,San Diego Gas & Electric Co
Naval Station,32.681667,-117.120277,,Municipality,
North Island,32.705000,-117.190277,,Municipality,
Silver Gate,32.697222,-117.114722,California Independent System Operator,San Diego Bay,
Refuse & Coal,39.902222,-83.024444,,Quarry Pond,City of Columbus - (OH)
Green Lake,56.986284,-135.122750,,Green Lake,City & Borough of Sitka - (AK)
Drop 5,32.673097,-115.392026,Imperial Irrigation District,Canal Filtered,Imperial Irrigation District
AES Alamitos LLC,33.768800,-118.100900,California Independent System Operator,Los Cerritos Channel,Southern California Edison Co
Sepulveda Canyon,34.096900,-118.479500,Los Angeles Department of Water and Power,River,Los Angeles Department of Water & Power
Big Creek 1,37.204200,-119.239600,California Independent System Operator,San Joaquin River,Southern California Edison Co
Big Creek 2,37.200000,-119.306900,California Independent System Operator,San Joaquin River,Southern California Edison Co
Big Creek 3,37.148517,-119.386623,California Independent System Operator,San Joaquin River,Southern California Edison Co
Big Creek 4,37.139000,-119.489800,California Independent System Operator,San Joaquin River,Southern California Edison Co
Big Creek 8,37.209600,-119.328900,California Independent System Operator,San Joaquin River,Southern California Edison Co
Big Creek 2A,37.200062,-119.306810,California Independent System Operator,San Joaquin River,Southern California Edison Co
Bishop Creek 2,37.273581,-118.573339,California Independent System Operator,Bishop Creek,Southern California Edison Co
Bishop Creek 3,37.301962,-118.531957,California Independent System Operator,Bishop Creek,Southern California Edison Co
Bishop Creek 4,37.323035,-118.501714,California Independent System Operator,Bishop Creek,Southern California Edison Co
Bishop Creek 5,37.334400,-118.479700,California Independent System Operator,Bishop Creek,Southern California Edison Co
Bishop Creek 6,37.349900,-118.462800,California Independent System Operator,Bishop Creek,Southern California Edison Co
Borel,35.588069,-118.524804,California Independent System Operator,Kern River,Southern California Edison Co
Coolwater,34.860600,-116.853900,California Independent System Operator,Wells,Southern California Edison Co
El Segundo Power,33.909804,-118.424172,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Etiwanda Generating Station,34.091180,-117.526630,California Independent System Operator,Wells,Southern California Edison Co
Fontana,34.155162,-117.397119,California Independent System Operator,Lytle Creek,Southern California Edison Co
AES Huntington Beach LLC,33.643900,-117.979200,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Kaweah 2,36.461326,-118.879880,California Independent System Operator,Mid & Marble Forks Kaweah Rive,Southern California Edison Co
Kaweah 1,36.465066,-118.862023,California Independent System Operator,East Fork Kaweah River,Southern California Edison Co
Kaweah 3,36.486059,-118.835645,California Independent System Operator,Mid & Marble Forks Kaweah Rive,Southern California Edison Co
Kern River 3,35.776185,-118.436233,California Independent System Operator,Kern River,Southern California Edison Co
Kern River 1,35.460303,-118.779590,California Independent System Operator,Kern River,Southern California Edison Co
Long Beach Generation LLC,33.764100,-118.224800,California Independent System Operator,Air Cooled Condensor,Southern California Edison Co
Lundy,38.042729,-119.172015,California Independent System Operator,Mill Creek,Southern California Edison Co
Mammoth Pool,37.220302,-119.337983,California Independent System Operator,San Joaquin River,Southern California Edison Co
Mandalay,34.206700,-119.251100,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Ormond Beach,34.129200,-119.168900,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Poole,37.944237,-119.216100,California Independent System Operator,Lee Vining Creek,Southern California Edison Co
Portal,37.257045,-119.158936,California Independent System Operator,Portal Forebay,Southern California Edison Co
AES Redondo Beach LLC,33.850400,-118.395000,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Rush Creek,37.766954,-119.123284,California Independent System Operator,Rush Creek,Southern California Edison Co
Mountainview Generating Station,34.081800,-117.241800,California Independent System Operator,Wells,Southern California Edison Co
San Onofre Nuclear Generating Station,33.368794,-117.554916,California Independent System Operator,Pacific Ocean,Southern California Edison Co
Santa Ana 1,34.145220,-117.058481,California Independent System Operator,Santa Ana River,Southern California Edison Co
Santa Ana 3,34.107245,-117.099091,California Independent System Operator,Santa Ana River,Southern California Edison Co
Lower Tule River,36.135680,-118.788868,California Independent System Operator,Tule River,Southern California Edison Co
Columbia Generating Station,46.471100,-119.333900,Bonneville Power Administration,Columbia River,Bonneville Power Administration
Magnolia,34.178056,-118.315556,,Municipality,
Pardee,38.256900,-120.850700,California Independent System Operator,Pardee Reservoir,Pacific Gas & Electric Co
Grayson,34.155600,-118.278200,Los Angeles Department of Water and Power,Municipality,Los Angeles Department of Water & Power
Prairie River,47.287206,-93.498266,"Midcontinent Independent Transmission System Operator, Inc..",Prairie River,"ALLETE, Inc."
Dion R Holm,37.896649,-119.967500,California Independent System Operator,Cherry Reservoir,Pacific Gas & Electric Co
Moccasin,37.809388,-120.299254,California Independent System Operator,Priest Reservoir,Pacific Gas & Electric Co
R C Kirkwood,37.877667,-119.953233,California Independent System Operator,Hetch Hetchy Reservoir,Pacific Gas & Electric Co
Brawley,32.968889,-115.534444,Imperial Irrigation District,Municipality,Imperial Irrigation District
Joliet 29,41.494636,-88.123827,"PJM Interconnection, LLC",Desplaines River,Commonwealth Edison Co
Drop 2 (CA),32.705435,-115.030975,Imperial Irrigation District,Canal Filtered,Imperial Irrigation District
Drop 3 (CA),32.705428,-115.126103,Imperial Irrigation District,Well & Canal Filtered,Imperial Irrigation District
Drop 4,32.705341,-115.219067,Imperial Irrigation District,Well & Canal Filtered,Imperial Irrigation District
Pilot Knob,32.736642,-114.713858,Imperial Irrigation District,Canal Filtered,Imperial Irrigation District
El Centro,32.802222,-115.540000,Imperial Irrigation District,Dogwood Canal,Imperial Irrigation District
Solomon Gulch,61.082800,-146.303300,,Solomon Lake,"Copper Valley Elec Assn, Inc"
Big Pine Creek,37.142795,-118.324075,Los Angeles Department of Water and Power,Big Pine Creek,Los Angeles Department of Water & Power
Castaic,34.587237,-118.656638,Los Angeles Department of Water and Power,Pyramid Lake California Aquedu,Los Angeles Department of Water & Power
Control Gorge,37.437921,-118.556988,Los Angeles Department of Water and Power,Middle Gorge Tailbay,Los Angeles Department of Water & Power
Cottonwood,36.443421,-118.043890,Los Angeles Department of Water and Power,Cottonwood Creek,Los Angeles Department of Water & Power
Foothill,34.318248,-118.494449,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Department of Water & Power
Franklin (CA),34.103931,-118.413377,Los Angeles Department of Water and Power,Municipality,Los Angeles Department of Water & Power
Haiwee,36.109722,-117.956667,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Department of Water & Power
Harbor,33.770600,-118.265600,Los Angeles Department of Water and Power,Pacific Ocean,Los Angeles Department of Water & Power
Haynes,33.764741,-118.099130,Los Angeles Department of Water and Power,Pacific Ocean,Los Angeles Department of Water & Power
Middle Gorge,37.510000,-118.569167,Los Angeles Department of Water and Power,Upper Gorge Tailbay,Los Angeles Department of Water & Power
Pleasant Valley Hydro,37.414160,-118.523889,Los Angeles Department of Water and Power,Pleasant Valley Reservoir,Los Angeles Department of Water & Power
San Fernando,34.312778,-118.492778,Los Angeles Department of Water and Power,Los Angeles Aqueduct,Los Angeles Department of Water & Power
Scattergood,33.918151,-118.427648,Los Angeles Department of Water and Power,Pacific Ocean,Los Angeles Department of Water & Power
Tok,63.335520,-142.999970,,Well,Alaska Power and Telephone Co
Upper Gorge,37.546036,-118.590001,Los Angeles Department of Water and Power,Lake Crowley,Los Angeles Department of Water & Power
Valley (CA),34.244991,-118.391327,Los Angeles Department of Water and Power,Municipality,Los Angeles Department of Water & Power
Exchequer,37.584345,-120.268590,California Independent System Operator,Lake Mcclure-Merced River,Pacific Gas & Electric Co
McSwain,37.522065,-120.310090,California Independent System Operator,Lake Mcswain-Merced River,Pacific Gas & Electric Co
Chicago Park,39.177903,-120.890856,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Dutch Flat 2,39.218400,-120.835200,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Beardsley,38.202569,-120.076983,California Independent System Operator,Stanislaus River,Pacific Gas & Electric Co
Donnells,38.246656,-120.034072,California Independent System Operator,Stanislaus River,Pacific Gas & Electric Co
Tulloch,37.876111,-120.605000,California Independent System Operator,Stanislaus River,Pacific Gas & Electric Co
Forbestown,39.551012,-121.278784,California Independent System Operator,South Fork Feather River,Pacific Gas & Electric Co
Kelly Ridge,39.531784,-121.491247,California Independent System Operator,South Fork Feather River,Pacific Gas & Electric Co
Woodleaf,39.553811,-121.204077,California Independent System Operator,South Fork Feather River,Pacific Gas & Electric Co
Broadway (CA),34.125400,-118.148000,California Independent System Operator,Municipality,City of Pasadena - (CA)
Craig (AK),55.476910,-133.148690,,Municipality,Alaska Power and Telephone Co
Glenarm,34.126000,-118.149400,California Independent System Operator,Municipality,City of Pasadena - (CA)
Hydaburg,55.204937,-132.821435,,,Alaska Power and Telephone Co
French Meadows,39.077971,-120.406069,California Independent System Operator,Middle Fork American River,Pacific Gas & Electric Co
Middle Fork,39.024801,-120.596383,California Independent System Operator,Rubicon River,Pacific Gas & Electric Co
Oxbow (CA),39.003372,-120.746651,California Independent System Operator,Middle Fork American River,Pacific Gas & Electric Co
